Dell,BMC/IPMI,iDRAC9 / iDRAC10,Supported,Firmware update from Dell,N/A,N/A (firmware),iDRAC works independently of OS. Keep firmware current. OpenManage agent for OS-level inventory.
HPE,BMC/IPMI,iLO 5 / iLO 6,Supported,Firmware update from HPE,N/A,N/A (firmware),iLO works independently. HPE Agentless Management Service (AMS) for OS integration.
Lenovo,BMC/IPMI,XCC (XClarity Controller),Supported,Firmware update from Lenovo,N/A,N/A (firmware),XCC works independently. XClarity Provisioning Manager for OS deployment.
Cisco,BMC/IPMI,CIMC (C-Series),Supported,Firmware update from Cisco,N/A,N/A (firmware),CIMC works independently of OS. Download Cisco UCS tools for Windows integration.

# ============================================================
# DRIVER DOWNLOAD REFERENCE URLS
# ============================================================
# Intel NIC drivers:       https://www.intel.com/content/www/us/en/download-center/home.html
# NVIDIA WinOF-2:          https://network.nvidia.com/products/infiniband-drivers/windows/winof-2/
# Broadcom/Emulex FC:      https://www.broadcom.com/support/fibre-channel-networking/
# Marvell/QLogic FC/NIC:   https://www.marvell.com/support/
# Broadcom NIC:            https://www.broadcom.com/support/
# Chelsio NIC:             https://www.chelsio.com/nic/unified-wire-for-windows/
# Dell OpenManage:         https://www.dell.com/support/kbdoc/en-us/000177252/
# HPE Smart Storage Admin: https://support.hpe.com/connect/s/product?language=en_US&kmpmoid=1010145327
# Windows Server Catalog:  https://www.windowsservercatalog.com/
# ============================================================
